REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
AUS,Australia,2016,142.5758134,142.5758134,142.5758134,105.0441842,65.83220667,59.78428378,42970225978.0,-0.257427389,18288567404.0
AUS,Australia,2017,140.531327,140.531327,140.531327,113.6847648,63.51519188,53.64428927,48199372040.0,0.754012611,15654919839.0
AUS,Australia,2018,139.8309019,139.8309019,139.8309019,88.32416121,54.1378389,61.294484,60686639530.0,0.07216413,-7258818348.0
AUS,Australia,2019,136.0245189,136.0245189,136.0245189,106.663016,59.81524137,56.0787081,38745129661.0,0.638053484,17689942671.0
AUS,Australia,2020,142.0194904,142.0194904,142.0194904,129.3280252,92.16635819,71.265573,15841437866.0,0.587524247,22973920265.0
AUS,Australia,2021,138.4800987,138.4800987,138.4800987,121.0622145,68.51646641,56.596079,27804057511.0,0.444348398,32425400595.0
AUS,Australia,2022,133.8547261,133.8547261,133.8547261,99.18576079,64.35132241,64.8795975,70084936395.0,7.347927815,47249843029.0
AUS,Australia,2023,127.744596,127.744596,127.744596,99.18576079,64.35132241,64.8795975,70084936395.0,7.347927815,-18090041696.0
BRA,Brazil,1960,17.97272656,12.2227109,17.97272656,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1961,17.02200798,11.00412637,17.02200798,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1962,17.02852855,10.60089642,17.02852855,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1963,14.70566238,9.210663983,14.70566238,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1964,13.52351449,8.648182606,13.52351449,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1965,13.08658763,9.378369537,13.08658763,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1966,11.89698834,7.944066649,11.89698834,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1967,14.20943913,9.917495135,14.20943913,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1968,16.65089303,11.51678809,16.65089303,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1969,26.72324965,20.76816379,26.72324965,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1970,30.89205987,24.62492611,30.89205987,34.5034587,0.975715638,41.58758316,391699999.9,0.122886692,0.0
BRA,Brazil,1971,37.55379743,27.48783111,37.55379743,34.5034587,0.975715638,41.58758316,449000000.0,0.122886692,0.0
BRA,Brazil,1972,41.83728619,31.7386309,41.83728619,34.5034587,0.975715638,41.58758316,459899999.9,0.122886692,0.0
BRA,Brazil,1973,41.8104102,32.04162277,41.8104102,34.5034587,0.975715638,41.58758316,1180700000.0,0.122886692,0.0
BRA,Brazil,1974,46.16605948,34.35613729,46.16605948,34.5034587,0.975715638,41.58758316,1207900000.0,0.122886692,0.0
BRA,Brazil,1975,52.59559389,38.39859481,52.59559389,34.5034587,0.975715638,41.58758316,1302000000.0,0.122886692,0.0
BRA,Brazil,1976,54.46879498,40.02538417,54.46879498,34.5034587,0.975715638,41.58758316,1555000000.0,0.122886692,0.0
BRA,Brazil,1977,54.39278096,40.5539097,54.39278096,34.5034587,0.975715638,41.58758316,1833000000.0,0.122886692,0.0
BRA,Brazil,1978,50.42510735,38.73112686,50.42510735,34.5034587,0.975715638,41.58758316,2006000000.0,0.122886692,0.0
BRA,Brazil,1979,51.01291063,39.33747959,51.01291063,34.5034587,0.975715638,41.58758316,2419000000.0,0.122886692,-2000000.0
BRA,Brazil,1980,42.05373828,32.49970458,42.05373828,34.5034587,0.975715638,41.58758316,1911000000.0,0.122886692,-11000000.0
BRA,Brazil,1981,44.69143382,36.4510213,44.69143382,34.5034587,0.975715638,41.58758316,2520000000.0,0.122886692,14000000.0
BRA,Brazil,1982,45.65257234,38.57584845,45.65257234,34.5034587,0.975715638,41.58758316,2910000000.0,0.122886692,16000000.0
BRA,Brazil,1983,50.47614083,44.18010754,50.47614083,34.5034587,0.975715638,41.58758316,1609000000.0,0.122886692,-3000000.0
BRA,Brazil,1984,50.39323009,45.74831788,50.39323009,34.5034587,0.975715638,41.58758316,1594000000.0,0.122886692,-3000000.0
BRA,Brazil,1985,44.24583339,39.33835565,44.24583339,34.5034587,0.975715638,41.58758316,1441000000.0,0.122886692,-11000000.0
BRA,Brazil,1986,64.62755812666667,15.83526873,64.62755812666667,34.5034587,0.975715638,41.58758316,345000000.0,0.122886692,9000000.0
BRA,Brazil,1987,85.00928286333334,14.50519601,85.00928286333334,34.5034587,0.975715638,41.58758316,1169000000.0,0.122886692,61000000.0
BRA,Brazil,1988,105.3910076,105.3637742,105.3910076,34.5034587,0.975715638,41.58758316,2804000000.0,0.122886692,189000000.0
BRA,Brazil,1989,127.7470501,127.7355155,127.7470501,34.5034587,0.975715638,41.58758316,1131000000.0,0.122886692,-57000000.0
BRA,Brazil,1990,42.08278959,42.08234878,42.08278959,34.5034587,1.517794773,41.58758316,989000000.0,0.172745302,103000000.0
BRA,Brazil,1991,45.15931635,45.15928619,45.15931635,34.5034587,3.435453671,41.58758316,1103000000.0,0.296028929,578000000.0
BRA,Brazil,1992,84.4659027,84.4655623,84.4659027,34.5034587,7.027047074,41.58758316,2061000000.0,0.041743869,1704000000.0
BRA,Brazil,1993,134.1135891,133.0758809,134.1135891,34.5034587,9.554374441,41.58758316,1292000000.0,0.133318116,6570000000.0
BRA,Brazil,1994,69.52319942,65.53957582,69.52319942,34.5034587,15.5620197,41.58758316,3072000000.0,0.1973849,7280000000.0
BRA,Brazil,1995,43.49452482,43.03672897,43.49452482,34.5034587,10.2559743,41.58758316,4859000000.0,0.17989608,2775000000.0
BRA,Brazil,1996,40.77849368,40.77779173,40.77849368,34.5034587,13.65530227,41.58758316,12552000000.0,0.104065439,5785000000.0
BRA,Brazil,1997,40.85223717,40.74132319,40.85223717,34.5034587,24.6147621,41.58758316,18992934311.0,0.126308446,5099000000.0
BRA,Brazil,1998,29.53226057,29.53226057,29.53226057,34.5034587,20.01391417,41.58758316,28855609916.0,0.330436199,-1768000000.0
BRA,Brazil,1999,29.8269102,29.8269102,29.8269102,34.5034587,26.49078843,41.58758316,28385675615.0,0.249758679,2572000000.0
BRA,Brazil,2000,31.14098578,31.14098578,31.14098578,34.5034587,14.34915458,41.58758316,32994718700.0,0.380970743,3075913757.0
BRA,Brazil,2001,29.00403802,29.00403802,29.00403802,33.25768798,11.51407755,34.62079974,23225846372.0,-0.265917235,2481200940.0
BRA,Brazil,2002,29.64514194,29.64514194,29.64514194,24.86518344,7.7236279,31.06201858,16586600193.0,0.486176339,1980742540.0
BRA,Brazil,2003,27.68566994,27.68566994,27.68566994,42.01824806,12.62531163,30.04721094,10123013671.0,0.040984445,2972604810.0
BRA,Brazil,2004,29.37277026,29.37277026,29.37277026,49.35780662,16.9855291,34.41305492,18161380460.0,1.467598865,2080933160.0
